Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,There are three things that can be done in kernel mode but not in user mode. Two are executing privileged CPU instructions and accessing kernel memory. What is the third (independent of the first two)?,MC,,,Directly creating threads,,Directly accessing I/O devices,,Writing to the register pointing to the trap table,,Directly accessing virtual memory addresses,,,,,,,,,,,,,,,,,,,,,,,,2
2,Which of the following statements regarding the UNIX Process API is INCORRECT?,MC,,,"When <code>fork()</code> fails, the function returns a negative integer.",,"When <code>fork()</code> succeeds, the function in the parent process returns the process ID of the newly created child process.",,"When <code>exec()</code> fails, the function returns a negative integer.",,"When <code>exec()</code> succeeds, the function returns 0.",,,,,,,,,,,,,,,,,,,,,,,,4
3,"Let's suppose that you are shopping at a grocery store with only one checkout lane, and you decide to only check out ten items, which theoretically shouldn't take that long. However, you end up having to wait an entire ten minutes to check out because you are stuck behind another customer who has decided to purchase two hundred items. This is an example of...",MC,,,starvation.,,process isolation.,,the Convoy Effect.,,time sharing.,,,,,,,,,,,,,,,,,,,,,,,,3
4,Which of the following statements regarding scheduling policies is INCORRECT?,MC,,,A FIFO scheduling policy maximizes process response time.,,A Round Robin scheduling policy involves interrupting the currently running process after it has ran for a time slice.,,Multi-Level Feedback Queues avoid starvation by reassigning all processes to the top priority level after a certain time interval.,,Stride Scheduling is a deterministic scheduling policy.,,,,,,,,,,,,,,,,,,,,,,,,1
5,"One problem of segmented memory is _____, and this occurs when...",MC,,,"internal fragmentation; many large, fixed-size segments are allocated.",,internal fragmentation; many segments of different sizes are allocated and deallocated.,,"external fragmentation; many large, fixed-size segments are allocated.",,external fragmentation; many segments of different sizes are allocated and deallocated.,,,,,,,,,,,,,,,,,,,,,,,,4
6,"During the process of address translation from a Virtual Page Number to a Physical Frame Number under a paging memory system, there are a series of ""checks"" that are done to decide how this address translation occurs, primarily to ensure good performance. Which of these ""checks"" come first?",MC,,,Checking if the virtual address is present in the page table,,Checking if the victim page (to be evicted to disk) is dirty,,Checking if the virtual address is in the Translation Lookaside Buffer,,Checking if there exists a free frame in memory,,,,,,,,,,,,,,,,,,,,,,,,3
7,Consider the following definition of a start routine function that can be passed in to <code>pthread_create</code> in C's <code>pthread</code> library. Fill in the blank.,MC,"/*
 * Returns the integer two regardless of inputted argument.
 */
void *return_two(void *arg) {
    (void)arg;
    int x = 2;
    _____
}",,<code>return (void *)x;</code>,,<code>return (void *)&x;</code>,,<code>return (void *)*x;</code>,,Both the first and second option are reasonable answers.,,,,,,,,,,,,,,,,,,,,,,,,1
8,Atomicity in the test-and-set instruction is guaranteed via...,MC,,,the use of mutexes in user programs.,,the use of semaphores in user programs.,,the syscall implementation in kernel code.,,the hardware implementation.,,,,,,,,,,,,,,,,,,,,,,,,4
9,"Which of the following ""dining philosopher"" implementations is guaranteed to never deadlock?
<i>Assume that after picking up both chopsticks, the philosopher would eat and then put both chopsticks down.</i>",MC,,,Have each philosopher pick up the chopstick on their left before picking up the chopstick on their right.,,Have each philosopher randomly pick up one of the two chopsticks to their side before picking up the other one.,,"Assign a ""priority"" to each chopstick, and have each philosopher pick up the chopstick to their side with higher priority before picking up the chopstick with lower priority.",,None of the above,,,,,,,,,,,,,,,,,,,,,,,,3
10,"Suppose that you are asked to design a driver for an ammeter device. Every 2 seconds, this device outputs a 32-bit value representing the electrical current flowing through the device. The driver you design should use _____ and _____.",MC,,,"polling, programmed I/O",,"polling, direct memory access",,"interrupts, programmed I/O",,"interrupts, direct memory access",,,,,,,,,,,,,,,,,,,,,,,,1
11,Which of the following is a true statement regarding Hard Disk Drives and Solid State Drives?,MC,,,"With Hard Disk Drives, seek time significantly contributes to read time for random reads but becomes negligible for sequential reads.",,Solid State Drives do not allow for one to erase a page without erasing the entire block the page is in.,,"In Solid State Drives, the Flash Translation Layer helps avoid write amplification.",,All of the above are true.,,,,,,,,,,,,,,,,,,,,,,,,4
12,"Consider a double-indirect indexed file system where each block is 1 KiB, each block pointer is 256 Bytes, and there is enough space in the inode for two block pointers. What is the largest file size that such a file system can support?",MC,,,2 KiB,,8 KiB,,32 KiB,,64 KiB,,,,,,,,,,,,,,,,,,,,,,,,3
13,"Suppose that in the process of writing a two-step (file system-related) transaction to a journal file, the file system crashes. Upon restart, in which of the following cases should the file system replay the transaction in its entirety?

I. Journal contains the transaction begin block and the first step of the transaction, but not the second step or the transaction end block.<br />II. Journal contains the transaction begin block and both steps of the transaction, but not the transaction end block.<br />III. Journal contains the transaction begin block, both steps of the transaction, and the transaction end block.",MC,,,III only,,I and II only,,II and III only,,None of these,,,,,,,,,,,,,,,,,,,,,,,,1
14,"Widgets, Inc. is a company that sells widgets. In order to keep track of sales and inventory, they have decided to store their information on 10 different disks, all of which store an identical copy of all the information. This is indicative of which RAID architecture?",MC,,,RAID-0,,RAID-1,,RAID-4,,RAID-5,,,,,,,,,,,,,,,,,,,,,,,,2
15,Rainbow tables are useful and effective ways to crack passwords...,MC,,,that have been encrypted with BASE64.,,that have been hashed but not salted.,,that have been both hashed and salted.,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,2
